"id","name","user_id","active","company_id","address_home_id","country_id","gender","marital","spouse_complete_name","spouse_birthdate","children","place_of_birth","country_of_birth","birthday","ssnid","sinid","identification_id","passport_id","bank_account_id","permit_no","visa_no","visa_expire","additional_note","certificate","study_field","study_school","emergency_contact","emergency_phone","km_home_work","notes","color","barcode","pin","departure_reason","departure_description","departure_date","message_main_attachment_id","department_id","job_id","job_title","address_id","work_phone","mobile_phone","work_email","work_location","resource_id","resource_calendar_id","parent_id","coach_id","create_uid","create_date","write_uid","write_date","timesheet_cost","nempl","fincas_pma","salario"
11,Jeffrey Kelly,,true,1,,,,single,,,,,,,,,,,,,,,,other,,,,,,,0,,,,,,,2,6,Marketing and Community Manager,1,(916)-264-7362,,jeffrey.kelly72@example.com,"Building 1, Second Floor",11,1,1,1,1,2020-10-20 02:25:45,1,2020-10-20 02:25:45,0.0,,,
12,Tina Williamson,,true,1,,,,single,,,,,,,,,,,,,,,,other,,,,,,,0,,,,,,,1,5,Human Resources Manager,1,(360)-694-7266,,tina.williamson98@example.com,"Building 1, Second Floor",12,1,1,1,1,2020-10-20 02:25:45,1,2020-10-20 02:25:45,0.0,,,
2,Ronnie Hart,,true,1,,,,single,,,,,,,,,,,,,,,,other,,,,,,,0,,,,,,,4,2,Chief Technical Officer,1,(376)-310-7863,,ronnie.hart87@example.com,"Building 1, Second Floor",2,1,,,1,2020-10-20 02:25:45,1,2020-10-20 02:25:45,0.0,,,
13,Walter Horton,,true,1,,,,single,,,,,,,,,,,,,,,,other,,,,,,,0,,,,,,,4,4,Experienced Developer,1,(350)-912-1201,,walter.horton80@example.com,"Building 1, Second Floor",13,1,,,1,2020-10-20 02:25:45,1,2020-10-20 02:25:45,0.0,,,
14,Paul Williams,,true,1,,,,single,,,,,,,,,,,,,,,,other,,,,,,,0,,,,,,,3,4,Experienced Developer,1,(114)-262-1607,,paul.williams59@example.com,"Building 1, Second Floor",14,1,,,1,2020-10-20 02:25:45,1,2020-10-20 02:25:45,0.0,,,
15,Doris Cole,,true,1,,,,single,,,,,,,,,,,,,,,,other,,,,,,,0,,,,,,,5,3,Consultant,1,(883)-331-5378,,doris.cole31@example.com,"Building 1, Second Floor",15,1,,,1,2020-10-20 02:25:45,1,2020-10-20 02:25:45,0.0,,,
16,Rachel Perry,,true,1,,,,single,,,,,,,,,,,,,,,,other,,,,,,,0,,,,,,,2,6,Marketing and Community Manager,1,(206)-267-3735,,jod@odoo.com,"Building 1, Second Floor",16,1,,,1,2020-10-20 02:25:45,1,2020-10-20 02:25:45,0.0,,,
1,Naisor Admin,2,true,1,41,,,single,,,,,,,,,,,,,,,,other,,,,,,,0,,,,,,,3,1,Chief Executive Officer,3,(237)-125-2389,,aiden.hughes71@example.com,"Building 1, Second Floor",1,1,,,1,2020-10-20 02:25:45,1,2020-11-25 03:08:30,100.00,,,
3,Anita Oliver,,true,1,,,,single,,,,,,,,,,,,,,,,other,,,,,,,0,,,,,,,4,4,Experienced Developer,1,(538)-497-4804,(538)-672-3185,anita.oliver32@example.com,"Building 1, Second Floor",3,1,2,2,1,2020-10-20 02:25:45,1,2020-10-20 02:25:45,0.0,,,
4,Sharlene Rhodes,,true,1,,,,single,,,,,,,,,,,,,,,,other,,,,,,,0,,,,,,,3,4,Experienced Developer,1,(450)-719-4182,,sharlene.rhodes49@example.comcom,"Building 1, Second Floor",4,1,2,2,1,2020-10-20 02:25:45,1,2020-10-20 02:25:45,0.0,,,
